"여자","부산광역시","55~59세",20584,2440,2980,18386,2613,4092
"여자","부산광역시","60~64세",22305,1550,2659,26961,2268,4752
"여자","부산광역시","65~69세",22618,1055,1275,26283,1715,3403
"여자","부산광역시","70~74세",22624,668,974,24291,889,2022
"여자","부산광역시","75~79세",21107,435,451,22366,607,1235
"여자","부산광역시","80~84세",13549,221,275,16378,325,602
"여자","부산광역시","85세 이상",6494,121,67,9427,170,195
"여자","대구광역시","계",138455,40943,11033,163591,58169,17701
"여자","대구광역시","20세 미만",1737,1737,-,1538,1538,-
"여자","대구광역시","20~24세",9307,9295,12,12482,12425,46
"여자","대구광역시","25~29세",6903,6648,197,14248,13839,290
"여자","대구광역시","30~34세",6585,5769,583,8501,7606,590
"여자","대구광역시","35~39세",5981,4603,562,7243,5901,731
"여자","대구광역시","40~44세",7105,4341,716,6899,4597,909
"여자","대구광역시","45~49세",7882,2913,1385,8666,4387,1406
"여자","대구광역시","50~54세",10388,1902,1920,10369,2750,2428
"여자","대구광역시","55~59세",13155,1147,2192,14044,1690,3370
"여자","대구광역시","60~64세",13120,842,1467,17157,1297,3594
"여자","대구광역시","65~69세",13575,646,769,16237,838,2037
"여자","대구광역시","70~74세",15137,534,548,14258,613,1164
"여자","대구광역시","75~79세",14131,308,405,13846,388,661
"여자","대구광역시","80~84세",9183,207,217,11241,200,347
"여자","대구광역시","85세 이상",4266,51,60,6862,100,128
"여자","인천광역시","계",124965,40059,10607,156166,58757,15227
"여자","인천광역시","20세 미만",1008,1008,-,1339,1339,-
"여자","인천광역시","20~24세",6018,5977,31,9735,9688,7
"여자","인천광역시","25~29세",7527,7311,139,14732,14282,205
"여자","인천광역시","30~34세",8084,7020,622,9875,8832,504
"여자","인천광역시","35~39세",7435,5697,662,8407,6871,649
"여자","인천광역시","40~44세",7502,4589,699,8155,5220,939
"여자","인천광역시","45~49세",8383,2783,1303,9341,4381,1377
"여자","인천광역시","50~54세",9875,1975,1837,10502,2763,2001
"여자","인천광역시","55~59세",12516,1445,2097,13720,1870,2721
"여자","인천광역시","60~64세",10542,969,1296,16900,1444,2997
"여자","인천광역시","65~69세",11160,554,815,13576,840,1569
"여자","인천광역시","70~74세",11622,363,586,12499,560,1072
"여자","인천광역시","75~79세",11142,164,323,11676,322,611
"여자","인천광역시","80~84세",7840,143,122,9212,232,357
"여자","인천광역시","85세 이상",4311,61,75,6497,113,218
"여자","광주광역시","계",88186,30987,7585,97131,40611,12754
"여자","광주광역시","20세 미만",1214,1205,9,1530,1530,-
"여자","광주광역시","20~24세",7735,7724,11,10434,10376,34
"여자","광주광역시","25~29세",6770,6595,116,10538,10189,214
"여자","광주광역시","30~34세",5953,5330,498,6380,5647,520
